timestamp,session_id,agent_id,agent_type,task_id,description,input_tokens,output_tokens,cache_read,cache_create,billable_tokens,total_tokens,api_calls,duration_secs,started_at,ended_at
2026-01-03T16:52:18Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,,,,,,,,,,,,,,
2026-01-03T16:53:12Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ae59863,,,,,,,,,,,,,
2026-01-03T16:53:51Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ae09738,,,,3,1,,,,4,,,,
2026-01-03T16:54:46Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a3e1494,,,,4,2,25834,8396,,34236,2,,,
2026-01-04T04:05:19Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a888057,,,,78,13800,3195818,115036,128836,3324732,72,1740,2026-01-04T03:36:19.515Z,2026-01-04T04:05:19.439Z
2026-01-04T04:11:26Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a8653d0,,,,7821,3273,1470078,119608,122881,1600780,47,346,2026-01-04T04:05:40.762Z,2026-01-04T04:11:26.691Z
2026-01-04T04:39:10Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a71563b,,,,87,18731,3449674,124725,143456,3593217,79,1637,2026-01-04T04:11:53.138Z,2026-01-04T04:39:10.771Z
2026-01-04T04:43:34Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ad4f927,,,,20613,1451,1028631,161650,163101,1212345,29,253,2026-01-04T04:39:21.919Z,2026-01-04T04:43:34.216Z
2026-01-04T04:55:08Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a94e69c,,,,4643,12240,4462406,179975,192215,4659264,89,666,2026-01-04T04:44:02.626Z,2026-01-04T04:55:08.707Z
2026-01-04T04:59:21Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a841862,,,,33,1698,861532,123210,124908,986473,25,244,2026-01-04T04:55:17.871Z,2026-01-04T04:59:21.699Z
2026-01-04T05:19:29Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ad4d892,,,,3296,12702,4126697,154718,167420,4297413,81,1185,2026-01-04T04:59:44.695Z,2026-01-04T05:19:29.863Z
2026-01-04T05:20:21Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a1c0b77,,,,256,88,368627,51332,51420,420303,17,36,2026-01-04T05:19:45.208Z,2026-01-04T05:20:21.588Z
2026-01-04T05:20:28Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ab2ea71,,,,198,218,389214,81704,81922,471334,17,43,2026-01-04T05:19:45.205Z,2026-01-04T05:20:28.234Z
2026-01-04T05:52:53Z,3c58dec2-8e9d-4c17-9eee-f024eaf13a6b,ac2b460,,,,,,,,,,1,1,2026-01-04T05:52:52.490Z,2026-01-04T05:52:53.322Z
2026-01-04T05:52:53Z,3c58dec2-8e9d-4c17-9eee-f024eaf13a6b,a5d0cde,,,,,,,,,,1,1,2026-01-04T05:52:52.493Z,2026-01-04T05:52:53.531Z
2026-01-04T05:53:30Z,b9ea1f8d-b14b-4d93-9350-d79a6276b5df,a1ec7c6,,,,,,,,,,1,1,2026-01-04T05:53:29.859Z,2026-01-04T05:53:30.383Z
2026-01-04T05:53:30Z,b9ea1f8d-b14b-4d93-9350-d79a6276b5df,a4c2f39,,,,,,,,,,1,1,2026-01-04T05:53:29.856Z,2026-01-04T05:53:30.604Z
2026-01-04T06:04:25Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a5b4a64,,,,38955,1178,901030,213864,215042,1155027,23,139,2026-01-04T06:02:06.181Z,2026-01-04T06:04:25.301Z
2026-01-04T06:11:47Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,aa28468,,,,73,11392,3574769,199476,210868,3785710,65,418,2026-01-04T06:04:49.088Z,2026-01-04T06:11:47.474Z
2026-01-04T06:17:51Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a6fbf86,,,,37,977,1036405,135219,136196,1172638,29,348,2026-01-04T06:12:03.097Z,2026-01-04T06:17:51.027Z
2026-01-04T06:42:50Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,aff8bb5,,,,497,15769,7300825,248716,264485,7565807,102,1465,2026-01-04T06:18:24.229Z,2026-01-04T06:42:49.969Z
2026-01-04T06:47:10Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a1a4190,,,,55,550,2292500,180081,180631,2473186,47,248,2026-01-04T06:43:02.184Z,2026-01-04T06:47:10.029Z
2026-01-04T06:59:35Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a4bbcf0,,,,58911,25093,7901017,277709,302802,8262730,91,721,2026-01-04T06:47:34.572Z,2026-01-04T06:59:35.377Z
2026-01-04T07:04:43Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a8ddff9,,,,33735,215,557240,167769,167984,758959,17,297,2026-01-04T06:59:46.549Z,2026-01-04T07:04:43.692Z
2026-01-04T07:21:27Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ae95742,,,,68,8164,2328082,105988,114152,2442302,62,980,2026-01-04T07:05:07.200Z,2026-01-04T07:21:27.086Z
2026-01-04T07:26:08Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,acf8102,,,,35,949,830792,111226,112175,943002,27,266,2026-01-04T07:21:42.234Z,2026-01-04T07:26:08.009Z
2026-01-04T08:03:34Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ac15887,,,,29822,6149,9873564,430865,437014,10340400,114,1422,2026-01-04T07:39:52.773Z,2026-01-04T08:03:34.270Z
2026-01-04T08:09:07Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a957afe,,,,12374,2027,972914,145388,147415,1132703,28,315,2026-01-04T08:03:52.201Z,2026-01-04T08:09:07.495Z
2026-01-04T08:22:08Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a297078,,,,548,1798,2695593,172994,174792,2870933,63,294,2026-01-04T08:17:13.244Z,2026-01-04T08:22:07.917Z
2026-01-04T08:55:36Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a4aabb2,,,,116,2863,4657692,141577,144440,4802248,110,450,2026-01-04T08:48:06.786Z,2026-01-04T08:55:36.724Z
2026-01-04T08:59:22Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a3dcb63,,,,2085,10900,8853468,262160,273060,9128613,156,676,2026-01-04T08:48:06.784Z,2026-01-04T08:59:22.806Z
2026-01-04T09:01:37Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a8062b8,,,,51,805,1310300,202230,203035,1513386,41,208,2026-01-04T08:58:09.709Z,2026-01-04T09:01:37.138Z
2026-01-04T17:53:15Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ac8973f,,,,907,8572,8789351,321324,329896,9120154,109,1348,2026-01-04T17:30:47.444Z,2026-01-04T17:53:15.541Z
2026-01-04T17:57:56Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a8977e5,,,,33,340,786455,139968,140308,926796,25,263,2026-01-04T17:53:33.387Z,2026-01-04T17:57:56.120Z
2026-01-04T19:11:28Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,acd9177,,,,761,734,990061,153037,153771,1144593,36,72,2026-01-04T19:10:16.347Z,2026-01-04T19:11:28.692Z
2026-01-04T20:43:28Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a2087a9,,,,4795,13886,8367833,352690,366576,8739204,123,5222,2026-01-04T19:16:26.742Z,2026-01-04T20:43:28.724Z
2026-01-04T20:47:50Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ad9cfed,,,,29,402,731764,192169,192571,924364,21,248,2026-01-04T20:43:42.779Z,2026-01-04T20:47:50.364Z
2026-01-04T20:59:33Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a1d7c57,,,,32,5146,1223980,89501,94647,1318659,30,164,2026-01-04T20:56:47.964Z,2026-01-04T20:59:31.556Z
2026-01-04T22:07:27Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a0f9f8c,,,,174,1239,1234990,180559,181798,1416962,33,230,2026-01-04T22:03:37.578Z,2026-01-04T22:07:27.716Z
2026-01-04T22:16:57Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a151cee,,,,2892,5480,731250,140521,146001,880143,30,152,2026-01-04T22:14:25.365Z,2026-01-04T22:16:57.444Z
2026-01-04T22:57:17Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a831f25,,,,3,164,,4282,4446,4449,1,3,2026-01-04T22:57:14.219Z,2026-01-04T22:57:17.754Z
2026-01-04T22:57:21Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,ab8cd77,,,,3,123,,4410,4533,4536,1,7,2026-01-04T22:57:14.223Z,2026-01-04T22:57:21.775Z
2026-01-04T23:01:03Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a2cc371,,,,11,418,60539,45640,46058,106608,5,32,2026-01-04T23:00:31.272Z,2026-01-04T23:01:03.455Z
2026-01-04T23:34:22Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a2cc371,,,,718,26027,9177174,472167,498194,9676086,116,2031,2026-01-04T23:00:31.272Z,2026-01-04T23:34:22.621Z
2026-01-04T23:40:28Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,a3563ba,,,,5092,1283,1284888,128513,129796,1419776,35,353,2026-01-04T23:34:35.051Z,2026-01-04T23:40:28.286Z
2026-01-04T23:42:45Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,accb218,,,,612,1802,902890,152149,153951,1057453,30,104,2026-01-04T23:41:01.955Z,2026-01-04T23:42:45.066Z
2026-01-05T00:41:32Z,d8170853-453f-4f57-ba63-2747a4b4869f,a922c2d,,,,3,1,,4293,4294,4297,1,4,2026-01-05T00:41:28.941Z,2026-01-05T00:41:32.861Z
2026-01-05T00:41:35Z,d8170853-453f-4f57-ba63-2747a4b4869f,afbf0d8,,,,3,2,,4421,4423,4426,1,7,2026-01-05T00:41:28.944Z,2026-01-05T00:41:35.836Z
2026-01-05T00:44:33Z,d8170853-453f-4f57-ba63-2747a4b4869f,abbbb6b,,,,3878,1154,972531,193338,194492,1170901,33,141,2026-01-05T00:42:12.713Z,2026-01-05T00:44:33.277Z
2026-01-05T00:46:52Z,7db19cea-29cb-418d-82f5-3d810d1cc54e,aa285b3,,,,24775,887,986218,159752,160639,1171632,34,118,2026-01-05T00:44:54.484Z,2026-01-05T00:46:52.656Z
2026-01-05T01:25:19Z,d8170853-453f-4f57-ba63-2747a4b4869f,a7f481e,,,,18235,20812,2394860,545275,566087,2979182,43,445,2026-01-05T01:17:54.094Z,2026-01-05T01:25:19.365Z
2026-01-05T01:29:37Z,d8170853-453f-4f57-ba63-2747a4b4869f,a69fc01,,,,12469,5000,1965773,331203,336203,2314445,50,242,2026-01-05T01:25:34.752Z,2026-01-05T01:29:36.920Z
2026-01-05T01:42:47Z,d8170853-453f-4f57-ba63-2747a4b4869f,aa8c049,,,,191,13535,812291,174857,188392,1000874,25,320,2026-01-05T01:37:27.920Z,2026-01-05T01:42:47.505Z
2026-01-05T01:46:20Z,d8170853-453f-4f57-ba63-2747a4b4869f,a099e42,,,,39,560,964601,84820,85380,1050020,27,98,2026-01-05T01:44:42.433Z,2026-01-05T01:46:20.752Z
2026-01-05T01:57:44Z,d8170853-453f-4f57-ba63-2747a4b4869f,a8d2153,,,,5038,16173,4209911,609580,625753,4840702,65,460,2026-01-05T01:50:04.643Z,2026-01-05T01:57:44.793Z
2026-01-05T01:58:12Z,d8170853-453f-4f57-ba63-2747a4b4869f,a923279,,,,1376,4837,3182233,208848,213685,3397294,63,488,2026-01-05T01:50:04.644Z,2026-01-05T01:58:12.401Z
2026-01-05T02:01:20Z,d8170853-453f-4f57-ba63-2747a4b4869f,ac275dd,,,,849,1268,1021856,102153,103421,1126126,38,676,2026-01-05T01:50:04.635Z,2026-01-05T02:01:20.694Z
2026-01-05T03:24:12Z,d8170853-453f-4f57-ba63-2747a4b4869f,a531431,,,,30648,1322,1623285,177939,179261,1833194,50,200,2026-01-05T03:20:52.634Z,2026-01-05T03:24:12.598Z
2026-01-05T03:29:49Z,34e36596-aaa3-4d3d-8ef5-e7befcba7baf,a113efb,,,,3,1,,4338,4339,4342,1,5,2026-01-05T03:29:44.552Z,2026-01-05T03:29:49.099Z
